"id","userId","date","inTime","outTime","status","isLate","createdAt","inTime1","outTime1","inBranch1","outBranch1","inTime2","outTime2","inBranch2","outBranch2","inTime3","outTime3","inBranch3","outBranch3","inTime4","outTime4","inTime5","outTime5","info","info1","info2","info3","info4","info5"
"416","58","2026-05-15T18:30:00.000Z","2026-05-16T03:08:56.065Z","2026-05-16T15:41:41.730Z","OUT","true","2026-05-16T03:08:56.070Z","2026-05-16T03:08:56.065Z","2026-05-16T08:01:36.350Z","JNR, MOBILE","JNR, MOBILE","","","","","2026-05-16T10:15:08.752Z","2026-05-16T15:41:41.730Z","JNR, MOBILE","JNR, MOBILE","","","","","","","","","",""
"335","42","2026-05-13T18:30:00.000Z","2026-05-14T02:30:00.000Z","2026-05-14T06:59:01.939Z","IN","false","2026-05-14T05:39:06.721Z","2026-05-14T02:30:00.000Z","2026-05-14T06:59:01.939Z","","JNR","2026-05-14T07:02:29.431Z","","JNR","","","","","","","","","","","","","","",""
"338","44","2026-05-13T18:30:00.000Z","2026-05-14T01:35:04.255Z","","IN","true","2026-05-14T06:07:39.366Z","2026-05-14T01:35:04.255Z","","JAYANAGAR","LEGACY_A","","","","","","","","","","","","","Legacy DB A Import","","","","",""
"340","47","2026-05-13T18:30:00.000Z","2026-05-14T01:38:16.737Z","","IN","true","2026-05-14T06:49:32.215Z","2026-05-14T01:38:16.737Z","","JAYANAGAR","LEGACY_A","","","","","","","","","","","","","Legacy DB A Import","","","","",""
"435","66","2026-05-15T18:30:00.000Z","2026-05-16T01:50:35.311Z","","IN","false","2026-05-16T10:18:30.533Z","2026-05-16T01:50:35.311Z","","HANUMANTHNAGAR","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"364","51","2026-05-14T18:30:00.000Z","2026-05-15T01:34:35.041Z","2026-05-15T02:32:29.069Z","IN","true","2026-05-15T01:34:35.045Z","2026-05-15T01:34:35.041Z","2026-05-15T02:32:29.069Z","JNR","JNR","2026-05-15T09:17:00.819Z","","JNR","","","","","","","","","","","","","","",""
"384","59","2026-05-14T18:30:00.000Z","2026-05-15T03:59:48.230Z","","IN","false","2026-05-15T04:16:17.839Z","2026-05-15T03:59:48.230Z","","HANUMANTHNAGAR","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
"406","41","2026-05-15T18:30:00.000Z","2026-05-16T01:24:31.749Z","2026-05-16T14:30:28.399Z","OUT","false","2026-05-16T01:24:31.756Z","2026-05-16T01:24:31.749Z","2026-05-16T07:47:54.090Z","HNM","JNR","2026-05-16T10:30:35.414Z","2026-05-16T14:30:28.399Z","JNR","JNR","","","","","","","","","","","","","",""
"363","44","2026-05-14T18:30:00.000Z","2026-05-15T01:27:11.748Z","2026-05-15T10:00:55.965Z","OUT","false","2026-05-15T01:27:11.757Z","2026-05-15T01:27:11.748Z","2026-05-15T10:00:55.965Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"392","58","2026-05-14T18:30:00.000Z","2026-05-15T01:22:26.066Z","2026-05-15T04:45:10.680Z","IN","false","2026-05-15T07:12:40.692Z","2026-05-15T01:22:26.066Z","2026-05-15T03:37:50.330Z","JAYANAGAR","JAYANAGAR","","","","","","","","","","","","","Legacy DB A Import","","","","",""
"358","60","2026-05-13T18:30:00.000Z","2026-05-14T02:02:54.534Z","","IN","true","2026-05-14T13:13:20.281Z","2026-05-14T02:02:54.534Z","","JAYANAGAR","LEGACY_A","2026-05-14T10:11:00.000Z","2026-05-14T13:30:00.000Z","","","","","","","","","","","Legacy DB A Import","","","","",""
"377","57","2026-05-14T18:30:00.000Z","2026-05-15T01:43:56.108Z","","IN","true","2026-05-15T03:44:33.472Z","2026-05-15T01:43:56.108Z","","HANUMANTHNAGAR","LEGACY_B","2026-05-15T11:09:02.357Z","2026-05-15T15:30:51.932Z","HNM","HNM","","","","","","","","","Legacy DB B Import","","","","",""
"393","45","2026-05-14T18:30:00.000Z","2026-05-15T05:35:50.774Z","","IN","true","2026-05-15T07:18:56.573Z","2026-05-15T05:35:50.774Z","","JAYANAGAR","LEGACY_A","","","","","","","","","","","","","Legacy DB A Import","","","","",""
"334","41","2026-05-13T18:30:00.000Z","2026-05-14T01:25:47.595Z","","IN","false","2026-05-14T05:37:25.696Z","2026-05-14T01:25:47.595Z","","JAYANAGAR","LEGACY_A","","","","","","","","","","","","","Legacy DB A Import","","","","",""
"355","49","2026-05-13T18:30:00.000Z","2026-05-14T11:10:53.160Z","2026-05-14T12:17:50.577Z","OUT","true","2026-05-14T11:10:53.166Z","2026-05-14T12:16:51.509Z","2026-05-14T12:17:50.577Z","JNR, MOBILE","JNR, MOBILE","","","","","","","","","","","","","","","","","",""
"366","54","2026-05-14T18:30:00.000Z","2026-05-15T02:56:17.385Z","2026-05-15T11:31:24.304Z","OUT","false","2026-05-15T02:56:17.396Z","2026-05-15T02:56:17.385Z","2026-05-15T11:31:24.304Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"352","54","2026-05-13T18:30:00.000Z","2026-05-14T03:00:23.314Z","","IN","false","2026-05-14T10:46:55.097Z","2026-05-14T03:00:23.314Z","","JAYANAGAR","LEGACY_A","","","","","","","","","","","","","Legacy DB A Import","","","","",""
"386","50","2026-05-14T18:30:00.000Z","2026-05-15T04:34:59.930Z","2026-05-15T12:17:24.724Z","OUT","true","2026-05-15T04:34:59.938Z","2026-05-15T04:34:59.930Z","2026-05-15T12:17:24.724Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"350","50","2026-05-13T18:30:00.000Z","2026-05-14T06:17:48.449Z","","IN","true","2026-05-14T10:34:43.683Z","2026-05-14T06:17:48.449Z","","JAYANAGAR","LEGACY_A","","","","","","","","","","","","","Legacy DB A Import","","","","",""
"389","49","2026-05-14T18:30:00.000Z","2026-05-15T06:57:15.176Z","2026-05-15T12:25:50.915Z","OUT","false","2026-05-15T06:57:15.183Z","2026-05-15T06:57:15.176Z","2026-05-15T12:25:50.915Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"342","48","2026-05-13T18:30:00.000Z","2026-05-14T01:30:00.000Z","2026-05-14T14:31:37.220Z","OUT","false","2026-05-14T10:28:06.217Z","2026-05-14T01:30:00.000Z","2026-05-14T05:30:00.000Z","","","2026-05-14T14:31:30.409Z","2026-05-14T14:31:37.220Z","JNR","JNR","","","","","","","","","","","","","",""
"371","41","2026-05-14T18:30:00.000Z","2026-05-15T01:33:02.976Z","","IN","true","2026-05-15T03:32:43.339Z","2026-05-15T01:33:02.976Z","","HANUMANTHNAGAR","LEGACY_B","","","","","2026-05-15T10:37:40.410Z","2026-05-15T14:34:31.132Z","HNM","HNM","","","","","Legacy DB B Import","","","","",""
"417","54","2026-05-15T18:30:00.000Z","2026-05-16T03:10:19.007Z","","IN","false","2026-05-16T03:10:19.015Z","2026-05-16T03:10:19.007Z","","JNR","","","","","","","","","","","","","","","","","","",""
"423","43","2026-05-15T18:30:00.000Z","2026-05-16T04:02:00.000Z","2026-05-16T11:00:00.000Z","OUT","true","2026-05-16T04:08:33.926Z","2026-05-16T04:02:00.000Z","2026-05-16T11:00:00.000Z","JNR","","","","","","","","","","","","","","","","","","",""
"365","48","2026-05-14T18:30:00.000Z","2026-05-15T01:36:29.752Z","2026-05-15T14:30:00.000Z","OUT","true","2026-05-15T01:36:29.756Z","2026-05-15T01:36:29.752Z","2026-05-15T05:29:42.706Z","JNR","JNR","2026-05-15T09:56:00.000Z","2026-05-15T14:30:00.000Z","JNR","","","","","","","","","","","","","","",""
"429","40","2026-05-15T18:30:00.000Z","2026-05-16T01:22:52.186Z","","IN","false","2026-05-16T06:22:20.163Z","2026-05-16T01:22:52.186Z","","HANUMANTHNAGAR","LEGACY_B","","","","","","","","","","","","","Legacy DB B Import","","","","",""
