"id","userId","date","breakOut","breakIn","reason","status","bookletNo","collegeName","subject","topicsCovered","conveyance","numberOfHours","fromTime","toTime","createdAt"
"2","54","2026-05-28T18:30:00.000Z","2026-05-29T03:42:06.113Z","2026-05-29T03:43:18.578Z","Testing","APPROVED","","","","","","","","","2026-05-29T03:42:06.114Z"
"3","54","2026-05-28T18:30:00.000Z","2026-05-29T03:44:31.228Z","2026-05-29T03:44:40.342Z","Yest","APPROVED","","","","","","","","","2026-05-29T03:44:31.229Z"
"4","54","2026-05-28T18:30:00.000Z","2026-05-29T03:52:17.977Z","2026-05-29T07:31:17.545Z","Test","APPROVED","","","","","","","","","2026-05-29T03:52:17.978Z"
"5","54","2026-05-28T18:30:00.000Z","2026-05-29T07:31:49.056Z","2026-05-29T07:51:29.841Z","Lunch","APPROVED","","","","","","","","","2026-05-29T07:31:49.057Z"
"6","56","2026-05-29T18:30:00.000Z","2026-05-30T03:53:38.531Z","2026-05-30T04:23:54.437Z","During breakfast time going to temple","APPROVED","","","","","","","","","2026-05-30T03:53:38.531Z"
"8","54","2026-05-29T18:30:00.000Z","2026-05-30T04:26:25.520Z","2026-05-30T04:57:41.530Z","Personal","APPROVED","","","","","","","","","2026-05-30T04:26:25.521Z"
"7","44","2026-05-29T18:30:00.000Z","2026-05-30T04:02:29.273Z","2026-05-30T05:58:52.975Z","Personal work","APPROVED","","","","","","","","","2026-05-30T04:02:29.274Z"
"9","54","2026-05-29T18:30:00.000Z","2026-05-30T08:24:06.579Z","2026-05-30T08:49:38.758Z","Lunch","APPROVED","","","","","","","","","2026-05-30T08:24:06.580Z"
"10","49","2026-05-31T18:30:00.000Z","2026-06-01T08:02:32.649Z","2026-06-01T08:23:57.243Z","Launch","APPROVED","","","","","","","","","2026-06-01T08:02:32.650Z"
"11","49","2026-05-31T18:30:00.000Z","2026-06-01T11:14:21.215Z","2026-06-01T11:33:47.587Z","Tea","APPROVED","","","","","","","","","2026-06-01T11:14:21.215Z"
"12","67","2026-06-01T18:30:00.000Z","2026-06-02T05:07:42.347Z","","Tea/ coffee break","REJECTED","","","","","","","","","2026-06-02T05:07:42.349Z"
"13","41","2026-06-01T18:30:00.000Z","2026-06-02T06:59:32.662Z","2026-06-02T07:00:32.111Z","NMKRV college visit (invoice).","APPROVED","","","","","","","","","2026-06-02T06:59:32.662Z"
"40","52","2026-06-05T18:30:00.000Z","2026-06-06T04:17:59.215Z","2026-06-06T04:28:05.213Z","Breakfast","APPROVED","","","","","","","","","2026-06-06T04:17:59.216Z"
"14","41","2026-06-01T18:30:00.000Z","2026-06-02T07:56:18.276Z","","College Visit: NMKRV college visit (Subject: Invoice)","APPROVED","","","","","","","","","2026-06-02T07:01:42.867Z"
"16","51","2026-06-01T18:30:00.000Z","2026-06-02T10:44:48.220Z","2026-06-02T11:17:15.602Z","Tea break","APPROVED","","","","","","","","","2026-06-02T10:44:48.221Z"
"15","80","2026-06-01T18:30:00.000Z","2026-06-02T07:56:14.857Z","2026-06-02T12:46:32.121Z","College Visit: Bnm college (Subject: Business Development)","APPROVED","","","","","","","","","2026-06-02T07:22:17.315Z"
"17","43","2026-06-02T18:30:00.000Z","2026-06-03T06:13:12.973Z","2026-06-03T06:27:06.321Z","Need to go for medical store.","APPROVED","","","","","","","","","2026-06-03T06:13:12.974Z"
"18","51","2026-06-02T18:30:00.000Z","2026-06-03T08:00:48.387Z","2026-06-03T08:20:07.016Z","Personal work","APPROVED","","","","","","","","","2026-06-03T08:00:48.388Z"
"19","49","2026-06-02T18:30:00.000Z","2026-06-03T11:16:40.996Z","2026-06-03T11:34:03.569Z","Tea","APPROVED","","","","","","","","","2026-06-03T11:16:40.996Z"
"20","67","2026-06-02T18:30:00.000Z","2026-06-03T14:27:06.641Z","2026-06-03T14:37:18.561Z","Tea break","APPROVED","","","","","","","","","2026-06-03T14:27:06.641Z"
"22","82","2026-06-03T18:30:00.000Z","2026-06-04T06:31:32.033Z","2026-06-04T07:27:00.894Z","Coffee break","APPROVED","","","","","","","","","2026-06-04T06:31:32.034Z"
"23","40","2026-06-03T18:30:00.000Z","2026-06-04T07:22:29.889Z","2026-06-04T07:45:11.457Z","Coffee break","APPROVED","","","","","","","","","2026-06-04T07:22:29.889Z"
"25","51","2026-06-03T18:30:00.000Z","2026-06-04T08:59:09.491Z","2026-06-04T09:41:19.932Z","Personal work","APPROVED","","","","","","","","","2026-06-04T08:59:09.492Z"
"24","45","2026-06-03T18:30:00.000Z","2026-06-04T07:47:19.743Z","2026-06-04T09:50:01.630Z","Personal","APPROVED","","","","","","","","","2026-06-04T07:47:19.744Z"
"26","65","2026-06-03T18:30:00.000Z","2026-06-04T10:45:08.362Z","2026-06-04T10:45:19.774Z","Publicity","APPROVED","","","","","","","","","2026-06-04T10:45:08.363Z"
"28","49","2026-06-03T18:30:00.000Z","2026-06-04T11:15:13.365Z","2026-06-04T11:34:30.882Z","tea","APPROVED","","","","","","","","","2026-06-04T11:15:13.366Z"
"21","41","2026-06-03T18:30:00.000Z","2026-06-04T04:00:14.520Z","2026-06-04T11:41:26.311Z","St Francis college","APPROVED","","","","","","","","","2026-06-04T04:00:14.520Z"
