"id","userId","startDate","endDate","reason","adminReason","status","appliedDate","remarksAlternative","remarksOfficeUse","createdAt","updatedAt"
"8","49","2026-05-16T00:00:00.000Z","2026-05-18T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-15T00:00:00.000Z","","","2026-05-19T03:54:06.520Z","2026-05-19T03:54:06.520Z"
"9","47","2026-05-15T00:00:00.000Z","2026-05-16T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-12T00:00:00.000Z","","","2026-05-19T03:54:46.763Z","2026-05-19T03:54:46.763Z"
"10","72","2026-05-11T00:00:00.000Z","2026-05-13T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-10T00:00:00.000Z","","","2026-05-19T03:55:10.170Z","2026-05-19T03:55:10.170Z"
"11","58","2026-05-09T00:00:00.000Z","2026-05-09T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-08T00:00:00.000Z","","","2026-05-19T03:55:35.953Z","2026-05-19T03:55:35.953Z"
"12","44","2026-05-11T00:00:00.000Z","2026-05-11T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-08T00:00:00.000Z","","","2026-05-19T03:56:08.316Z","2026-05-19T03:56:08.316Z"
"13","44","2026-05-13T00:00:00.000Z","2026-05-13T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-08T00:00:00.000Z","","","2026-05-19T03:56:21.340Z","2026-05-19T03:56:21.340Z"
"14","43","2026-05-02T00:00:00.000Z","2026-05-02T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-01T00:00:00.000Z","","","2026-05-19T03:56:45.759Z","2026-05-19T03:56:45.759Z"
"15","74","2026-05-15T00:00:00.000Z","2026-05-18T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-12T00:00:00.000Z","","","2026-05-20T04:58:43.021Z","2026-05-20T04:58:43.021Z"
"16","49","2026-05-20T00:00:00.000Z","2026-05-21T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-20T00:00:00.000Z","","","2026-05-20T05:01:37.561Z","2026-05-20T05:01:37.561Z"
"17","55","2026-05-23T00:00:00.000Z","2026-05-25T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-19T00:00:00.000Z","","","2026-05-20T05:09:16.718Z","2026-05-20T05:09:16.718Z"
"18","51","2026-05-29T00:00:00.000Z","2026-05-29T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-25T00:00:00.000Z","","approved","2026-05-27T02:48:00.390Z","2026-05-27T02:48:00.390Z"
"19","71","2026-05-28T00:00:00.000Z","2026-05-28T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-25T00:00:00.000Z","","Approved","2026-05-27T02:48:28.154Z","2026-05-27T02:48:28.154Z"
"20","65","2026-05-30T00:00:00.000Z","2026-05-30T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-28T00:00:00.000Z","","","2026-05-28T09:42:30.925Z","2026-05-28T09:42:30.925Z"
"21","63","2026-05-28T00:00:00.000Z","2026-05-28T00:00:00.000Z","Barked","Direct assignment","APPROVED","2026-05-26T00:00:00.000Z","","","2026-05-28T09:44:19.850Z","2026-05-28T09:44:19.850Z"
"22","41","2026-05-25T00:00:00.000Z","2026-05-25T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-22T00:00:00.000Z","","","2026-05-28T09:45:06.385Z","2026-05-28T09:45:06.385Z"
"23","65","2026-05-16T00:00:00.000Z","2026-05-16T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-14T00:00:00.000Z","","","2026-05-28T09:45:38.841Z","2026-05-28T09:45:38.841Z"
"24","56","2026-05-15T00:00:00.000Z","2026-05-15T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-14T00:00:00.000Z","","","2026-05-28T09:46:27.449Z","2026-05-28T09:46:27.449Z"
"25","61","2026-05-18T00:00:00.000Z","2026-05-21T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-12T00:00:00.000Z","","","2026-05-28T09:47:06.175Z","2026-05-28T09:47:06.175Z"
"26","62","2026-05-13T00:00:00.000Z","2026-05-13T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-13T00:00:00.000Z","","","2026-05-28T09:48:02.634Z","2026-05-28T09:48:02.634Z"
"27","47","2026-06-04T00:00:00.000Z","2026-06-05T00:00:00.000Z","Direct leave by admin","Direct assignment","APPROVED","2026-05-29T00:00:00.000Z","","Cancell All Classes and inform to all students","2026-06-02T04:46:18.209Z","2026-06-02T04:46:18.209Z"
